Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-12-12,0.10060006380081177,0.10103743110922511,0.10060006380081177,0.10060006380081177,469033600,0.0,0.0
1980-12-15,0.09578904834888398,0.09578904834888398,0.0953516811132431,0.0953516811132431,175884800,0.0,0.0
1980-12-16,0.08879045148534662,0.08879045148534662,0.08835308998823165,0.08835308998823166,105728000,0.0,0.0
1980-12-17,0.09053992480039597,0.0909772922129141,0.09053992480039597,0.09053992480039597,86441600,0.0,0.0
1980-12-18,0.0931648463010788,0.09360220762107094,0.0931648463010788,0.0931648463010788,73449600,0.0,0.0
1980-12-19,0.09885059297084808,0.09928796022052164,0.09885059297084808,0.09885059297084808,48630400,0.0,0.0
1980-12-22,0.10366159677505493,0.10409974650701334,0.10366159677505493,0.10366159677505493,37363200,0.0,0.0
1980-12-23,0.10803606361150742,0.10847343099987818,0.10803606361150742,0.10803606361150742,46950400,0.0,0.0
1980-12-24,0.11372178047895432,0.11415914777447458,0.11372178047895432,0.11372178047895432,48003200,0.0,0.0
1980-12-26,0.12421929091215134,0.12465665814740377,0.12421929091215134,0.12421929091215134,55574400,0.0,0.0
1980-12-29,0.12596875429153442,0.12640612154802874,0.12596875429153442,0.12596875429153442,93161600,0.0,0.0
1980-12-30,0.12334458442270614,0.12334458442270614,0.12290722876787186,0.12290722876787186,68880000,0.0,0.0
1980-12-31,0.11984569173527697,0.11984569173527697,0.11940832436084747,0.11940832436084747,35750400,0.0,0.0
1981-01-02,0.12072040885686876,0.12159514356263146,0.12072040885686876,0.12072040885686874,21660800,0.0,0.0
1981-01-05,0.11853353575626119,0.11853353575626119,0.11809618026018143,0.11809618026018143,35728000,0.0,0.0
1981-01-06,0.1132843674795561,0.1132843674795561,0.11284700036048889,0.11284700036048889,45158400,0.0,0.0
1981-01-07,0.10847343099987818,0.10847343099987818,0.10803606361150742,0.10803606361150742,55686400,0.0,0.0
1981-01-08,0.10628658442035833,0.10628658442035833,0.10584922879934311,0.10584922879934311,39827200,0.0,0.0
1981-01-09,0.11153494566679002,0.11197231292304115,0.11153494566679002,0.11153494566679001,21504000,0.0,0.0
1981-01-12,0.11153501558943757,0.11153501558943757,0.11066029220819472,0.11066029220819473,23699200,0.0,0.0
1981-01-13,0.10716134652840238,0.10716134652840238,0.10672397911548615,0.10672397911548615,23049600,0.0,0.0
1981-01-14,0.10716130584478377,0.10759867309165425,0.10716130584478377,0.10716130584478378,14291200,0.0,0.0
1981-01-15,0.1093481108546257,0.11022283351238495,0.1093481108546257,0.1093481108546257,14067200,0.0,0.0
1981-01-16,0.10891072016212994,0.10891072016212994,0.10847335308790207,0.10847335308790207,13395200,0.0,0.0
1981-01-19,0.1150338724255562,0.11547123972769084,0.1150338724255562,0.11503387242555618,41574400,0.0,0.0
